,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,T-RUNS,T-WKTS,ODI-RUNS-S,ODI-SR-B,ODI-WKTS,ODI-SR-BL,RUNS-S,HS,AVE,SR-B,SIXERS,RUNS-C,WKTS,AVE-BL,ECON,SR-BL,AGE_2,AGE_3,COUNTRY_BAN,COUNTRY_ENG,COUNTRY_IND,COUNTRY_NZ,COUNTRY_PAK,COUNTRY_SA,COUNTRY_SL,COUNTRY_WI,COUNTRY_ZIM,PLAYING ROLE_Batsman,PLAYING ROLE_Bowler,PLAYING ROLE_W. Keeper,CAPTAINCY EXP_1
1,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,307,15,20.47,8.9,13.93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,214,18,657,71.41,185,37.6,0,0,0.0,0.0,0,29,0,0.0,14.5,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,571,58,1269,80.62,288,32.9,167,39,18.56,121.01,5,1059,29,36.52,8.81,24.9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4,284,31,241,84.56,51,36.8,58,11,5.8,76.32,0,1125,49,22.96,6.23,22.14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5,63,0,79,45.93,0,0.0,1317,71,32.93,120.71,28,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,0,0,172,72.26,0,0.0,63,48,21.0,95.45,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,51,27,120,78.94,34,42.5,26,15,4.33,72.22,1,1342,52,25.81,7.98,19.4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8,54,50,50,92.59,62,31.3,21,16,21.0,165.88,1,693,37,18.73,7.22,15.57,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,83,17,609,85.77,72,53.0,335,67,30.45,114.73,3,610,19,32.11,6.85,28.11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
